STA,LON,LAT,ASSCM_SC,KAYEN_SC,ASSCM_VS,KAYEN_VS,USGS_VS,HVSR_VS,PWAVE_VS,ARRAY_VS
CCVN,117.750299999999996,-23.727799999999998,D,,270,nan,234,nan,nan,nan
CLNA,115.492999999999995,-22.539800000000000,D,,270,nan,229,nan,nan,nan
HPS03,116.567499999999995,-23.892499999999998,B,,1100,nan,315,nan,nan,nan
CE3N,119.457300000000004,-24.974499999999999,BC,,760,nan,302,nan,nan,nan
HPS07,116.451899999999995,-24.061699999999998,C,,560,nan,253,nan,nan,nan
HPS08,116.449900000000000,-24.096399999999999,C,,560,nan,280,nan,nan,nan
CLGF,115.643600000000006,-22.927900000000001,BC,,760,nan,337,nan,nan,nan
CP05,117.665800000000004,-22.282299999999999,D,,270,nan,695,nan,nan,nan
CLHA,117.670299999999997,-22.279900000000001,D,,270,nan,802,nan,nan,nan
HPS27,116.307100000000005,-24.124099999999999,D,,270,nan,297,nan,nan,nan
CP06,117.439999999999998,-22.882300000000001,BC,,760,nan,277,nan,nan,nan
CP11,117.122799999999998,-25.465399999999999,D,,270,nan,281,nan,nan,nan
CCM2,117.340299999999999,-25.166300000000000,D,,270,nan,318,nan,nan,nan
HPS20,116.298699999999997,-24.406900000000000,D,,270,nan,280,nan,nan,nan
HPS21,116.295900000000003,-24.423800000000000,D,,270,nan,244,nan,nan,nan
CA07,118.960999999999999,-20.434500000000000,B,,1100,nan,298,nan,nan,nan
RP01,117.639300000000006,-20.890300000000000,B,,1100,nan,268,nan,nan,nan
CCMG,117.266000000000005,-25.593900000000001,C,,560,nan,325,nan,nan,nan
CWR1,117.612099999999998,-22.637499999999999,D,,270,nan,446,nan,nan,nan
CCL3,117.037099999999995,-25.275800000000000,D,,270,nan,234,nan,nan,nan
CWL2,116.647000000000006,-25.340000000000000,D,,270,nan,238,nan,nan,nan
CWGF,116.054299999999998,-23.061100000000000,D,,270,nan,301,nan,nan,nan
HPS12,116.384100000000004,-24.260600000000000,D,,270,nan,305,nan,nan,nan
HPS11,116.410499999999999,-24.235399999999998,D,,270,nan,261,nan,nan,nan
CWMH,115.639499999999998,-23.366900000000001,B,,1100,nan,330,nan,nan,nan
LP04,115.444999999999993,-22.485900000000001,B,,1100,nan,312,nan,nan,nan
CP02,120.077600000000004,-20.632100000000001,D,,270,nan,237,nan,nan,nan
CA08,119.302999999999997,-20.167700000000000,D,,270,nan,228,nan,nan,nan
CWM1,117.594399999999993,-25.098099999999999,CD,,360,nan,244,nan,nan,nan
CEKN,119.684299999999993,-24.581600000000002,D,,270,nan,234,nan,nan,nan
CA09,119.433000000000007,-20.133600000000001,CD,,360,nan,237,nan,nan,nan
HPS14,116.295199999999994,-24.299199999999999,B,,1100,nan,273,nan,nan,nan
CWMS,116.567300000000003,-22.499600000000001,D,,270,nan,633,nan,nan,nan
CWED,116.099800000000002,-23.769400000000001,D,,270,nan,256,nan,nan,nan
HPS22,116.343900000000005,-24.270399999999999,BC,,760,nan,251,nan,nan,nan
RP02,118.723799999999997,-20.628699999999998,D,,270,nan,281,nan,nan,nan
CWL1,116.856399999999994,-25.131000000000000,D,,270,nan,225,nan,nan,nan
CEY3,117.966099999999997,-25.405000000000001,D,,270,nan,302,nan,nan,nan
CEDG,119.214699999999993,-25.674499999999998,C,,560,nan,224,nan,nan,nan
CP04,118.668899999999994,-22.329100000000000,D,,270,nan,332,nan,nan,nan
CEMD,118.683700000000002,-22.284500000000001,D,,270,nan,289,nan,nan,nan
CEMS,118.763999999999996,-22.503399999999999,D,,270,nan,770,nan,nan,nan
WS06,118.973299999999995,-24.399300000000000,BC,,760,nan,312,nan,nan,nan
CEWS,119.709800000000001,-24.267700000000001,BC,,760,nan,361,nan,nan,nan
CCTG,119.018299999999996,-24.348600000000001,B,,1100,nan,420,nan,nan,nan
HPS13,116.309899999999999,-24.283300000000001,D,,270,nan,321,nan,nan,nan
CEMR,118.817200000000000,-23.053000000000001,D,,270,nan,930,nan,nan,nan
CLWI,115.291200000000003,-24.214200000000002,BC,,760,nan,434,nan,nan,nan
CWR2,117.832599999999999,-22.841300000000000,B,,1100,nan,686,nan,nan,nan
RP03,120.218599999999995,-21.216999999999999,D,,270,nan,310,nan,nan,nan
CWA2,117.027000000000001,-23.393000000000001,BC,,760,nan,665,nan,nan,nan
CWWA,116.674400000000006,-23.691900000000000,D,,270,nan,256,nan,nan,nan
CETU,118.652000000000001,-23.623000000000001,D,,270,nan,236,nan,nan,nan
WR03,115.373999999999995,-24.407800000000002,BC,,760,nan,287,nan,nan,nan
CESC,118.844499999999996,-23.235499999999998,BC,,760,nan,882,nan,nan,nan
CENE,119.799999999999997,-23.450099999999999,CD,,360,nan,274,nan,nan,nan
HPS10,116.440200000000004,-24.168299999999999,BC,,760,nan,509,nan,nan,nan
CP12,117.399199999999993,-25.790099999999999,D,,270,nan,242,nan,nan,nan
HPS01,116.651399999999995,-23.771500000000000,BC,,760,nan,417,nan,nan,nan
HPS23,116.290899999999993,-24.456700000000001,BC,,760,nan,264,nan,nan,nan
CWUA,115.299199999999999,-23.102599999999999,BC,,760,nan,303,nan,nan,nan
