,PAZ_FILE,SAMPLING_RATE,PAZ_CRN_FREQ,REV_CHA
354,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
355,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
363,../inputs/paz/willmore.paz,40.0,0.99,SHZ
364,../inputs/paz/cmg-3t-120s.paz,20.0,0.01,BHE
365,../inputs/paz/cmg-3t-120s.paz,20.0,0.01,BHN
366,../inputs/paz/cmg-3t-120s.paz,20.0,0.01,BHZ
367,../inputs/paz/mark-L4C-3D.paz,40.0,0.99,SHZ
368,../inputs/paz/willmore.paz,40.0,0.99,SHZ
369,../inputs/paz/mark-L4C-3D.paz,40.0,0.99,SHZ
370,../inputs/paz/willmore.paz,40.0,0.99,SHZ
378,../inputs/paz/willmore.paz,40.0,0.99,SHZ
379,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHE
380,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
381,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
382,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHE
383,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
384,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
385,../inputs/paz/cmg-3t-100s.paz,40.0,0.01,BHZ
389,../inputs/paz/cmg-3t-120s.paz,20.0,0.01,BHE
390,../inputs/paz/cmg-3t-120s.paz,20.0,0.01,BHN
391,../inputs/paz/cmg-3t-120s.paz,20.0,0.01,BHZ
392,../inputs/paz/willmore.paz,40.0,0.99,SHZ
393,../inputs/paz/mark-L4C-3D.paz,40.0,0.99,SHZ
394,../inputs/paz/willmore.paz,40.0,0.99,SHZ
395,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHE
396,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
397,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
398,../inputs/paz/willmore.paz,20.0,0.99,SHZ
399,../inputs/paz/willmore.paz,40.0,0.99,SHZ
400,../inputs/paz/mark-L4C-3D.paz,40.0,0.99,SHZ
401,../inputs/paz/willmore.paz,40.0,0.99,SHZ
402,../inputs/paz/cmg-3t-100s.paz,40.0,0.01,BHZ
403,../inputs/paz/sts1.paz,20.0,0.02,BHE
404,../inputs/paz/sts1.paz,20.0,0.02,BHN
405,../inputs/paz/sts1.paz,20.0,0.02,BHZ
406,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
407,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
408,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHE
409,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
410,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
411,../inputs/paz/willmore.paz,20.0,0.99,SHZ
412,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHE
413,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
414,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
415,../inputs/paz/willmore.paz,40.0,0.99,SHZ
416,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHE
417,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
418,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
419,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHE
420,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
421,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
422,../inputs/paz/willmore.paz,40.0,0.99,SHZ
423,../inputs/paz/mark-L4C-3D.paz,40.0,0.99,SHZ
424,../inputs/paz/willmore.paz,40.0,0.99,SHZ
425,../inputs/paz/mark-L4C-3D.paz,40.0,0.99,SHZ
426,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHE
427,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
428,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
429,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHE
430,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
431,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
432,../inputs/paz/willmore.paz,20.0,0.99,SHZ
433,../inputs/paz/willmore.paz,40.0,0.99,SHZ
434,../inputs/paz/willmore.paz,40.0,0.99,SHZ
435,../inputs/paz/cmg-5t.paz,200.0,0.0,HNE
436,../inputs/paz/cmg-5t.paz,200.0,0.0,HNN
437,../inputs/paz/cmg-5t.paz,200.0,0.0,HNZ
438,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
439,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
440,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
441,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
442,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
443,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
444,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
445,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
446,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
447,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
448,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
449,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
450,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
451,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
452,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
453,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
454,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
455,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
456,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
457,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
458,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
459,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
460,../inputs/paz/cmg-5t.paz,100.0,0.0,HNE
461,../inputs/paz/cmg-5t.paz,100.0,0.0,HNN
462,../inputs/paz/cmg-5t.paz,100.0,0.0,HNZ
463,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
464,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
465,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
466,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
467,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
468,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
472,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
473,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
474,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
475,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
476,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
477,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
478,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
479,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
480,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
481,../inputs/paz/hsa-3.paz,100.0,0.0,HNE
482,../inputs/paz/hsa-3.paz,100.0,0.0,HNN
483,../inputs/paz/hsa-3.paz,100.0,0.0,HNZ
484,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
485,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
486,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
487,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
488,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
489,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
490,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
491,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
492,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
493,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
494,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
495,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
496,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
497,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
498,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
499,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
500,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
501,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
502,../inputs/paz/willmore.paz,40.0,0.99,SHZ
503,../inputs/paz/mark-L4C-3D.paz,40.0,0.99,SHZ
504,../inputs/paz/cmg-3t-120s.paz,20.0,0.01,BHE
505,../inputs/paz/cmg-3t-120s.paz,20.0,0.01,BHN
506,../inputs/paz/cmg-3t-120s.paz,20.0,0.01,BHZ
507,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
508,../inputs/paz/cmg-3t-100s.paz,40.0,0.01,BHZ
509,../inputs/paz/mark-L4C-3D.paz,40.0,0.99,SHZ
510,../inputs/paz/willmore.paz,40.0,0.99,SHZ
511,../inputs/paz/willmore.paz,20.0,0.99,SHZ
512,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
